what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.python.pydev.debug,1.6.1.2010080312,"com.python.pydev.debug",1282870759078
stopped,bundle,com.python.pydev.fastparser,1.6.1.2010080312,"com.python.pydev.fastparser",1282870759078
stopped,bundle,com.python.pydev,1.6.1.2010080312,"com.python.pydev",1282870759078
stopped,bundle,org.python.pydev.django,1.6.1.2010080312,"org.python.pydev.django",1282870759078
stopped,bundle,org.python.pydev.customizations,1.6.1.2010080312,"org.python.pydev.customizations",1282870759078
stopped,bundle,org.python.pydev.debug,1.6.1.2010080312,"org.python.pydev.debug",1282870759093
stopped,bundle,org.python.pydev.mylyn,0.3,"org.python.pydev.mylyn",1282870759093
stopped,bundle,org.python.pydev.red_core,1.6.1.2010080312,"org.python.pydev.red_core",1282870759093
stopped,bundle,org.python.pydev.refactoring,1.6.1.2010080312,"org.python.pydev.refactoring",1282870759093
stopped,bundle,org.python.pydev,1.6.1.2010080312,"org.python.pydev",1282870759140
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1282870759406
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1282870759406
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1282870759406
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1282870759406
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1282870759406
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1282870759406
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1282870759546
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1282870759546
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1282870759546
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1282870759562
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1282870759562
stopped,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1282870759578
