what,kind,bundleId,bundleVersion,description,time
error,log,,,"No message gotten.",1306256764453
closed,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306256765531
error,log,,,"No message gotten.",1306256765578
closed,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306256767875
error,log,,,"No message gotten.",1306256769000
closed,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306256770171
error,log,,,"No message gotten.",1306256771140
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306256772515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256773859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256775640
error,log,,,"No message gotten.",1306256777031
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306256777078
closed,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306256777078
error,log,,,"No message gotten.",1306256777156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256781296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256787625
error,log,,,"No message gotten.",1306256788468
opened,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306256788515
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306256788593
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1306256788593
activated,editor,org.python.pydev,2.0.0.2011040403,"org.python.pydev.editor.PythonEditor",1306256794281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256796593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256800734
error,log,,,"No message gotten.",1306256802156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAs",1306256802156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256805171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256805187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256805296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256807531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256820656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256820656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256820781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306256828187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1306256834531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1306256850968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1306256851828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1306256852031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1306256852203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1306256852390
